PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Gene expression (Transcription),,,,,Nuclear Receptor transcription pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-382096"",""Formation of NR-NCOR Corepressor Complex"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,DNA methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334152"",""DNMT3A:DNMT3L methylates cytosine in DNA"")",Yes,"[31, 32, 35, 53, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023592"",""MECP2 binds HTT"")",Yes,[23]
Gene expression (Transcription),,,,,Energy dependent regulation of mTOR by LKB1-AMPK,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380979"",""RHEB in mTORC1:RHEB:GTP hydrolyses GTP"")",Yes,[42]
Gene expression (Transcription),,,,,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008456"",""CDKN1A gene expression is inhibited by RUNX2"")",Yes,"[4, 10, 11, 19, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,PRC2 methylates histones and DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212269"",""DNMT1,3A,3B:PRC2 methylates cytosine and histone H3"")",Yes,"[31, 32, 35, 53, 59, 63, 65]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6797100"",""CCNK binds CDK13"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in interleukin signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8934690"",""LIFR gene expression"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801250"",""TRIAP1:PRELID1, PRELID3A transports PA from the outer to the inner mitochondrial membrane"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007860"",""RUNX2 binds TWIST1,(TWIST2)"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates expression of components of tight junctions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8935972"",""TJP1 (ZO-1) gene expression is stimulated by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in BCR signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938987"",""BLK gene expression is stimulated by the complex of RUNX1 and ELF1, ELF2 or PAX5"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3234094"",""SUMOylation of TFAP2C with SUMO1"")",Yes,[26]
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007496"",""APAF1 gene expression is stimulated by E2F1 and inhibited by E2F6"")",Yes,"[9, 66]"
Gene expression (Transcription),,,,,RUNX1 regulates estrogen receptor mediated transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932020"",""GPAM gene expression is stimulated by RUNX1 and ESR1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022870"",""MOBP gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,MECP2 regulates transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9017441"",""PPARG gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864361"",""KCTD15 binds TFAP2 homo- and heterodimers"")",Yes,[26]
Gene expression (Transcription),,,,,RUNX3 Regulates Immune Response and Cell Migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952442"",""SPP1 gene expression is stimulated by RUNX3"")",No,-
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8936995"",""THBS1 gene transcription is stimulated by the complex containing RUNX1, PRMT1 and GATA1 and inhibited by the complex of RUNX1, SIN3A and PRMT6"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX3 Regulates Immune Response and Cell Migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8949301"",""RORC gene expression is stimulated by RUNX3:CBFB"")",No,-
